model,horizon_minutes,station_id,n_predictions,accuracy_macro_station_pct,wape_all_rows_pct,mae
ridge,0,09000,2688,82.524882,17.475118,39.043887
ridge,0,09122,2688,81.689211,18.310789,46.584881
ridge,0,10009,2688,81.646132,18.353868,62.790714
seasonal_naive_96,0,ALL,32256,77.890825,21.003340,76.239831
seasonal_naive_96,0,02300,2688,69.388404,30.611596,93.139881
seasonal_naive_96,0,03000,2688,82.891096,17.108904,45.355655
seasonal_naive_96,0,05000,2688,82.803438,17.196562,59.303571
seasonal_naive_96,0,05100,2688,83.102925,16.897075,101.581845
seasonal_naive_96,0,06000,2688,81.999595,18.000405,92.619048
seasonal_naive_96,0,06111,2688,70.042028,29.957972,73.508929
seasonal_naive_96,0,07105,2688,79.745395,20.254605,55.900298
seasonal_naive_96,0,07107,2688,70.077528,29.922472,87.357143
seasonal_naive_96,0,07111,2688,82.438875,17.561125,121.641369
seasonal_naive_96,0,09000,2688,81.388286,18.611714,41.583333
seasonal_naive_96,0,09122,2688,71.049045,28.950955,73.654762
seasonal_naive_96,0,10009,2688,79.763287,20.236713,69.232143
